State,Total,Rural,Urban,cases,deaths
Alabama,5024279,2123399,2900880,32236000,526388.0
Alaska,733391,257424,475967,2854127,13147.0
Arizona,7151502,766272,6385230,47147078,1048821.0
Arkansas,3011524,1340847,1670677,18406368,285868.0
California,39538223,2278733,37259490,174969176,3065113.0
Colorado,5773714,806778,4966936,23442034,542870.0
Connecticut,3605944,495791,3110153,17214231,1119863.0
Delaware,989948,172131,817817,5154377,145664.0
District of Columbia,689545,0,689545,3644621,146395.0
Florida,21538187,1823381,19714806,138123133,2632238.0
Georgia,10711908,2777922,7933986,62230196,1363977.0
Hawaii,1455271,202821,1252450,2129453,27227.0
Idaho,1839106,565669,1273437,10608658,109143.0
Illinois,12812508,1674918,11137590,82118324,2211390.0
Indiana,6785528,1955842,4829686,35947357,920773.0
Iowa,3190369,1175538,2014831,23267720,335716.0
Kansas,2937880,813821,2124059,15948027,187629.0
Kentucky,4505836,1860980,2644856,18801566,285739.0
Louisiana,4657757,1325520,3332237,35116739,1184574.0
Maine,1362359,836050,526309,1551410,35654.0
Maryland,6177224,888464,5288760,29150984,912049.0
Massachusetts,7029917,613022,6416895,37419301,2222455.0
Michigan,10077331,2673073,7404258,42112852,1837617.0
Minnesota,5706494,1604740,4101754,29868387,531337.0
Mississippi,2961279,1590489,1370790,20500999,572569.0
Missouri,6154913,1879250,4275663,31469332,530055.0
Montana,1084225,505048,579177,5007382,58866.0
Nebraska,1961504,529501,1432003,13158427,132992.0
Nevada,3104614,183411,2921203,18286722,319370.0
New Hampshire,1377529,574109,803420,2724705,102996.0
New Jersey,9288994,580215,8708779,57403306,3817150.0
New Mexico,2117522,538970,1578552,9586672,217023.0
New York,20201249,2536083,17665166,126307878,8320598.0
North Carolina,10439388,3474661,6964727,46306384,734456.0
North Dakota,779094,304105,474989,6682198,87065.0
Ohio,11799448,2798349,9001099,44885224,1062373.0
Oklahoma,3959353,1400742,2558611,20512540,233760.0
Oregon,4237256,826272,3410984,8343602,128396.0
Pennsylvania,13002700,3061630,9941070,47304959,2002629.0
Puerto Rico,3285874,266966,3018908,9730415,134516.0
Rhode Island,1097379,98188,999191,7357021,262024.0
South Carolina,5118425,1640556,3477869,29321200,618708.0
South Dakota,886667,379320,507347,7219457,86828.0
Tennessee,6910840,2333558,4577282,43836216,540030.0
Texas,29145505,4744808,24400697,160159130,2927740.0
Utah,3271616,334313,2937303,20001600,111490.0
Vermont,643077,417227,225850,561055,16434.0
Virginia,8631393,2103080,6528313,32850541,668990.0
Washington,7705281,1281246,6424035,21937303,504771.0
West Virginia,1793716,992859,800857,4681431,84127.0
Wisconsin,5893718,1940027,3953691,37998809,410977.0
Wyoming,576851,219101,357750,2591448,20734.0
