State,Total,Rural,Urban
Alabama,5024279,2123399,2900880
Alaska,733391,257424,475967
Arizona,7151502,766272,6385230
Arkansas,3011524,1340847,1670677
California,39538223,2278733,37259490
Colorado,5773714,806778,4966936
Connecticut,3605944,495791,3110153
Delaware,989948,172131,817817
District of Columbia,689545,0,689545
Florida,21538187,1823381,19714806
Georgia,10711908,2777922,7933986
Hawaii,1455271,202821,1252450
Idaho,1839106,565669,1273437
Illinois,12812508,1674918,11137590
Indiana,6785528,1955842,4829686
Iowa,3190369,1175538,2014831
Kansas,2937880,813821,2124059
Kentucky,4505836,1860980,2644856
Louisiana,4657757,1325520,3332237
Maine,1362359,836050,526309
Maryland,6177224,888464,5288760
Massachusetts,7029917,613022,6416895
Michigan,10077331,2673073,7404258
Minnesota,5706494,1604740,4101754
Mississippi,2961279,1590489,1370790
Missouri,6154913,1879250,4275663
Montana,1084225,505048,579177
Nebraska,1961504,529501,1432003
Nevada,3104614,183411,2921203
New Hampshire,1377529,574109,803420
New Jersey,9288994,580215,8708779
New Mexico,2117522,538970,1578552
New York,20201249,2536083,17665166
North Carolina,10439388,3474661,6964727
North Dakota,779094,304105,474989
Ohio,11799448,2798349,9001099
Oklahoma,3959353,1400742,2558611
Oregon,4237256,826272,3410984
Pennsylvania,13002700,3061630,9941070
Rhode Island,1097379,98188,999191
South Carolina,5118425,1640556,3477869
South Dakota,886667,379320,507347
Tennessee,6910840,2333558,4577282
Texas,29145505,4744808,24400697
Utah,3271616,334313,2937303
Vermont,643077,417227,225850
Virginia,8631393,2103080,6528313
Washington,7705281,1281246,6424035
West Virginia,1793716,992859,800857
Wisconsin,5893718,1940027,3953691
Wyoming,576851,219101,357750
Puerto Rico,3285874,266966,3018908
Rural township; Rock Island County; Illinois,1017,1017,0
